"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"29",-68590.6044496365,-69872.857454135,-70244.0405357667,-69764.1430644573,-71356.797326707,-71634.201134734,-73186.2204457135,-74236.4143076082,-73212.3168037724,-73648.6491282321,-73220.269550216,-72220.0379907445,-73084.6933942825,-73253.5669024326,-74190.6039911875,-75805.347912905,-73729.1090226144,-73570.9178076089,-73112.6389460155,-73606.1952266913,-73261.5973236582
"30",-72073.6209349767,-72624.2595155061,-73267.2172297985,-74005.1607690114,-75517.3282967722,-75172.5081528406,-74317.7892311568,-74649.4014612258,-75608.0519012264,-74149.0790318778,-74078.3900520505,-75821.5908338451,-77236.646004616,-78882.3362443812,-80456.7614789338,-79174.4798992359,-78903.8499007289,-78702.9977795442,-78582.5364821389,-78821.2550125887,-79027.692188756
"31",-66735.1639217065,-67860.6004278837,-69220.8686259614,-69690.2368657097,-71505.7388413766,-71450.7175163099,-72641.8465584147,-74381.6604511409,-73278.5641632875,-74384.2966427122,-75051.1799149278,-76240.1452464283,-76727.6276925732,-77610.1660093449,-77814.2599539054,-77993.4101609003,-78145.8649917674,-78276.3571605996,-78237.4709431983,-78088.9654061312,-77604.7603935333
"32",-74379.8242814572,-76614.1856768741,-76914.6510313541,-77496.43636251,-78760.195020934,-79434.6187505358,-79541.0448225884,-79543.9746303109,-79604.987566563,-80307.6351493492,-80870.9108462637,-81639.6699718928,-81008.6033084279,-81769.9288326326,-82696.2402453099,-83259.1743172564,-83782.5446757047,-84396.511323062,-83420.5522815416,-83113.9343788756,-82484.9409016004
"33",-64083.2362930301,-65434.8788326264,-66181.2274923844,-67154.0967803555,-67080.5083846617,-68159.5579988847,-69707.4219725022,-70308.1769596067,-71298.0273969961,-72038.4949798988,-71304.7024622957,-71468.3825260398,-72148.0977259259,-71406.0603667999,-70814.0927031945,-70714.4510963298,-70176.5521800945,-70561.4565782748,-70381.5779738035,-70655.7205062902,-70756.387694875
"34",-62868.8619973547,-62753.400725197,-64835.8740391641,-65637.7566132686,-66604.5220644714,-67713.282163949,-66977.0479056476,-66756.8646285207,-68352.585467657,-69520.1848620337,-71361.4689488483,-71040.2064597877,-71387.3534356911,-70756.8002767814,-71265.6794518824,-69691.7345649567,-69834.1987255693,-70585.6351796827,-70141.9013061254,-69208.5114102932,-69275.3621044402
"35",-71829.4776464334,-71143.5953771245,-71117.2505327036,-70430.7219492681,-69305.4970742407,-74004.6201585751,-72377.3412106058,-75345.1799120437,-75215.6198994748,-77558.0726630689,-77779.1245063715,-77520.104859898,-76641.3726280581,-77608.2509632751,-79362.2467363529,-78025.1375505541,-79152.9203822648,-80546.5991980867,-80174.1455658132,-78366.9407156847,-78625.2899084423
"36",-73325.5659361266,-75938.7244390962,-77733.4888485438,-78726.6430985357,-79952.9036642465,-78992.0934082873,-79734.0966035402,-80304.1811568882,-80978.6947205408,-81336.7241031466,-81448.6746198013,-81058.4009254568,-82226.8039038093,-83639.5343834134,-83360.5451255524,-82755.4131527176,-82151.2608291369,-81709.0150013256,-82631.5447426224,-82721.1611683214,-81963.5715891405
"37",-72577.3852751207,-72840.5551564147,-72725.898509566,-74247.8747749349,-73930.6234116003,-74862.1390109708,-75784.2645976387,-76117.9404675059,-76677.2845332381,-76269.1068703752,-77426.6694672987,-77841.2394636254,-78337.1525398796,-79839.2611108896,-80245.0625767875,-79711.1086927072,-80254.7213882874,-80724.9622182882,-80336.9369724956,-80372.6558503264,-79876.8521732363
"38",-71051.2749659951,-72055.003016427,-72573.1800649567,-73193.1640812706,-74236.5248034145,-74788.6859400743,-74424.1776673285,-73663.0403443112,-73307.9582612671,-73221.3917269903,-73830.5133428918,-73362.5348281745,-72203.7962191631,-71908.9316629331,-73345.3679326666,-74100.6755621491,-74520.5838331499,-75851.965127785,-75335.4548636131,-75865.5759060869,-75860.2229078937
