"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"11",-52851.4603332287,-53652.6779141757,-53972.2717828349,-52007.7732859989,-53422.5238656552,-51466.546685408,-52458.9272381257,-52394.559264163,-52487.7400911146,-53307.4722190698,-51995.6466790672,-52954.6121394675,-52352.3664274848,-52003.6938580956,-52590.1847594618,-52823.4066245697,-52563.1547529728,-52557.3386098758,-52611.4958904848,-53029.9978982067,-52373.5883545681
"12",-45296.4715786,-46937.420469573,-48016.939341713,-51796.8413704215,-50276.0286952445,-49853.7379904189,-49506.1842228656,-49622.9673170616,-49706.8395274059,-48974.8883140498,-50182.3008852524,-49702.0575760955,-49824.1415107366,-50261.8643109079,-49437.8268744163,-50182.5430551262,-47477.8586906119,-49395.9487127459,-48066.9796785385,-47815.6567872257,-47285.3702938957
"13",-52384.3827947949,-51948.1961049493,-51260.9626878453,-52747.6364373872,-52633.4212986365,-53389.7690539787,-51380.8794311481,-50424.0237115026,-49795.0891194232,-49495.3898843954,-49491.3597840804,-51664.9486328498,-51899.6287690395,-50074.1066562676,-49015.1833804302,-48614.5305855067,-48437.7763887909,-49154.2930999074,-48764.4898114803,-48940.1268412768,-48559.5287618844
"14",-49352.0767930519,-49033.949315589,-50820.160770002,-50189.788721086,-49833.1366508242,-48859.5714483781,-49757.8389184916,-49490.1183486916,-48663.5107894683,-49108.2785788048,-48248.238407511,-47215.5742320718,-47360.7266972828,-47954.5508098901,-49043.9209381876,-49128.5930993797,-48381.4025528924,-47512.8844847683,-46755.0721869809,-45981.0587590292,-46321.033142069
"15",-49767.953854376,-49115.8771772362,-49646.4187773161,-49474.715781298,-50719.9216827903,-50401.9373021132,-49978.2291671242,-50700.336442264,-49462.6708250233,-50107.1095664225,-49066.2221371973,-48167.7913668579,-49321.1025674286,-51699.5315237735,-52408.5395147584,-51880.4547496365,-51065.6906803711,-49886.6613657778,-48798.7583990604,-48320.2264193419,-48358.5797340066
"16",-47544.007150332,-48185.1852717734,-48540.6080873794,-49321.9277544792,-49522.0830318148,-50313.4169833607,-48597.7754282323,-50418.7926847002,-49633.6645316221,-49993.2372752873,-50180.7123105857,-50046.5241470781,-48997.7802630317,-49138.6980667641,-48321.6178454121,-48331.8663556274,-46814.0667238488,-46700.704063872,-45951.4613774631,-46099.6414032191,-45932.0200744809
"17",-39289.7312245303,-42156.456392507,-40642.6603075363,-41365.3661270874,-39960.0342079118,-40857.5663564164,-41218.5173425195,-40939.9546853184,-41056.4235537788,-41181.9228057789,-39544.6652115139,-40448.7006596904,-40412.4396362331,-39384.5355202734,-40406.9469184931,-39562.9319049096,-39372.2955394033,-37651.226626625,-36254.6931426359,-35344.7297651136,-34943.8708420748
"18",-44511.8050039024,-43003.0734441501,-44284.2114962522,-45928.3564833837,-44503.651676016,-45296.4701843327,-46545.1143773622,-47663.3497042667,-48233.4121446127,-47860.2219832416,-47257.9684851983,-47718.7058111057,-47040.0021238275,-45833.4222920976,-45965.9876985958,-44896.1997298888,-43749.2427251673,-44522.7987220124,-43111.0285111902,-43131.5928041445,-41618.3003934724
"19",-50218.7175645672,-49186.398695773,-50886.5782700974,-50644.2730900484,-49507.6512411212,-49137.133334011,-50570.9142856634,-49090.0848908811,-49470.6364374772,-48932.9570278329,-49236.1567021326,-47844.5537141507,-49315.3933051483,-51051.2500588818,-49893.1107975288,-50529.5598090252,-48644.7966348474,-50562.5290067728,-50354.9676957168,-49420.8481886314,-47829.4792211946
"20",-57569.631458349,-56738.638243657,-56736.0946394627,-57684.4254785509,-60601.9812038558,-59917.3545280501,-59339.4642480563,-59506.0423050962,-58094.061519032,-58936.1136696223,-59363.3795166725,-58807.7101898222,-60047.5632984327,-59751.9450896398,-58726.1676878132,-58868.3941979141,-58863.6306010167,-58547.9803116248,-58044.3195601747,-58621.8401898951,-58196.3991103527
