"","V1","V2","V3","V4"
"3957",0,0,0,0
"3958",0,0,0,0
"3959",0.1,-0.057311780086904,0.5,0.364492366642505
"3960",0,0,0,0
"3961",0,0,0,0
"3962",0,0,0,0
"3963",0,0,0,0
"3964",0,0,0,0
"3965",0.1,-0.344837468588564,0.5,0.550082432871812
"3966",0.1,-0.451050347115967,0.5,0.377259431656307
"3967",0,0,0,0
"3968",0,0,0,0
"3969",0.1,0.290355872342331,0.5,0.431832711670883
"3970",0.1,0.5,0.5,0.426926509419427
"3971",0.1,0.324664118401322,0.5,0.45758340038894
"3972",0,0,0,0
"3973",0.1,0.218702711228106,0.5,0.416704060311086
"3974",0.1,0.0328495107316894,0.5,0.498182598647117
"3975",0,0,0,0
"3976",0,0,0,0
"3977",0,0,0,0
"3978",0,0,0,0
"3979",0,0,0,0
"3980",0,0,0,0
"3981",0.1,-0.360209736891914,0.339270628979685,0.308158151443531
"3982",0.1,0.5,0.5,0.350512316417942
"3983",0.1,0.225500608982735,0.5,0.419100237950708
"3984",0.1,-0.158758160971678,0.5,0.356877722467433
"3985",0,0,0,0
"3986",0.1,0.0893634044223862,0.5,0.402102749254003
"3987",0,0,0,0
"3988",0,0,0,0
"3989",0,0,0,0
"3990",0,0,0,0
"3991",0,0,0,0
"3992",0,0,0,0
"3993",0,0,0,0
"3994",0,0,0,0
"3995",0,0,0,0
"3996",0,0,0,0
"3997",0.1,-0.208637193836951,0.5,0.355337781887301
"3998",0,0,0,0
"3999",0,0,0,0
"4000",0,0,0,0
"4001",0,0,0,0
"4002",0,0,0,0
"4003",0.1,-0.0551990696741111,0.5,0.437705150621177
"4004",0,0,0,0
"4005",0.1,-0.205197903194141,0.5,0.379044054382277
"4006",0,0,0,0
"4007",0.1,0.01,0.5,0.34712599735151
"4008",0,0,0,0
"4009",0.1,-0.5,0.5,0.327346176971918
"4010",0.1,-0.195721785881726,0.0994928643718309,0.37522057821918
"4011",0.1,0.20005187915103,0.5,0.319623624272771
"4012",0,0,0,0
"4013",0,0,0,0
"4014",0,0,0,0
"4015",0,0,0,0
"4016",0,0,0,0
"4017",0,0,0,0
"4018",0.1,0.23828091456455,0.5,0.329024788155778
"4019",0,0,0,0
"4020",0,0,0,0
"4021",0,0,0,0
"4022",0,0,0,0
"4023",0.1,-0.0357958241163429,0.5,0.356439941664121
"4024",0,0,0,0
"4025",0,0,0,0
"4026",0,0,0,0
"4027",0,0,0,0
"4028",0.1,-0.0480695919265985,0.5,0.495049173348282
"4029",0.1,0.360113308487149,0.5,0.404391613856052
"4030",0,0,0,0
"4031",0,0,0,0
"4032",0.1,0.15094754783187,0.5,0.385741509737791
"4033",0.0108785889100344,-0.0012415665539434,0.0192638305332912,0
"4034",0.1,0.251019579182004,0.5,0.371634825356189
"4035",0.1,-0.01,0.5,0.255774232822872
"4036",0,0,0,0
"4037",0.1,0.0205376555001828,0.5,0.343647496785459
"4038",0.1,0.0105073608530913,0.5,0.344074500096052
"4039",0.1,-0.206039844775468,0.5,0.375368294103546
"4040",0.1,0.0480173465787924,0.5,0.293888234819124
"4041",0,0,0,0
"4042",0,0,0,0
"4043",0.1,-0.279393577871682,0.5,0.383681996714321
"4044",0.1,-0.304672554149651,0.5,0.308578551865944
"4045",0,0,0,0
"4046",0,0,0,0
"4047",0,0,0,0
"4048",0,0,0,0
"4049",0.1,0.27549037550212,0.5,0.432942220191589
"4050",0,0,0,0
"4051",0.1,0.374147491991403,0.5,0.368794570670076
"4052",0,0,0,0
"4053",0,0,0,0
"4054",0,0,0,0
"4055",0,0,0,0
"4056",0,0,0,0
"4057",0,0,0,0
"4058",0,0,0,0
"4059",0.1,-0.212067988014881,0.5,0.468349131884275
"4060",0,0,0,0
"4061",0,0,0,0
"4062",0,0,0,0
"4063",0,0,0,0
"4064",0,0,0,0
"4065",0,0,0,0
"4066",0.1,-0.5,0.5,0.418808967493541
"4067",0.1,-0.471277604262871,0.5,0.419995880118588
"4068",0,0,0,0
"4069",0,0,0,0
"4070",0,0,0,0
"4071",0,0,0,0
"4072",0,0,0,0
"4073",0.1,-0.166696627862729,0.5,0.373055721776322
"4074",0,0,0,0
"4075",0,0,0,0
"4076",0,0,0,0
"4077",0.1,-0.127513940518412,0.5,0.458425850508167
"4078",0,0,0,0
"4079",0.1,0.0739148572832366,0.5,0.467431811985614
"4080",0.1,0.466144555886148,0.5,0.343781523092559
"4081",0,0,0,0
"4082",0,0,0,0
"4083",0,0,0,0
"4084",0.1,0.348446965514221,0.5,0.441469094787862
"4085",0.1,-0.475507713093681,0.5,0.352464364972705
"4086",0.1,0.309016260545532,0.5,0.385223774544678
"4087",0.1,0.5,0.5,0.481633481302462
"4088",0,0,0,0
"4089",0,0,0,0
"4090",0,0,0,0
"4091",0.1,-0.216514108056684,0.5,0.429191481113792
"4092",0,0,0,0
"4093",0,0,0,0
