"","V1","V2","V3","V4","V5"
"2801",-58716.6213951408,-58710.4586168067,-58665.4581196623,-58614.8957043519,-58567.6273828859
"2802",-59681.7875065803,-59654.4084867278,-59627.5483927608,-59588.6268822826,-59582.9686248637
"2803",-60063.5131481286,-60053.28623902,-60008.3520710948,-59961.2325365197,-59896.3332974939
"2804",-59010.7512393468,-58985.7714007324,-58957.1962327276,-58896.2384102315,-58834.1039358849
"2805",-59027.5246602182,-59014.2830073648,-58995.5505362896,-58935.9412274013,-58879.9268997792
"2806",-58634.0437146648,-58636.5872093649,-58586.6162847546,-58542.0333578411,-58491.5478092191
"2807",-60109.1203413215,-60056.4563013018,-60003.2007577797,-59940.8124496706,-59880.7242621531
"2808",-59123.129356433,-59269.5815838945,-59259.9641703588,-59207.2297887105,-59153.2410978142
"2809",-59928.5886641576,-59885.8848338532,-59821.8786599883,-59759.2142952896,-59699.6889497141
"2810",-60134.2651084509,-60100.1531324294,-60036.6609620462,-59975.5448194416,-59931.5203534598
"2811",-61387.0470917582,-61390.8740476313,-61333.8465990327,-61284.8025278502,-61221.0882990028
"2812",-61769.1982551853,-61712.665519932,-61670.2387699275,-61606.3991497669,-61551.4329740722
"2813",-59417.5163955547,-59405.6005636633,-59402.9193910657,-59351.1936766052,-59319.7296781123
"2814",-59442.5887360456,-59424.1017394117,-59413.1206198933,-59360.9293498298,-59334.5160255052
"2815",-59065.5699787663,-59008.5143522728,-59058.655728038,-59035.6891463899,-58990.0772169268
"2816",-60074.8263495503,-60044.8289008708,-59987.1970947293,-59926.8119933085,-59862.5344336603
"2817",-59646.3983298007,-59640.4647358739,-59610.5517663463,-59560.4705911129,-59497.9660177125
"2818",-59213.6650867327,-59182.2890818964,-59139.3037606383,-59079.6418559795,-59016.6305666741
"2819",-59887.9076986309,-59848.2771482845,-59786.2630123997,-59725.4081928158,-59665.7100153049
"2820",-60444.3030140522,-60386.8064787357,-60333.2484063899,-60287.1128923577,-60233.111236375
"2821",-59464.2868488968,-59406.1068336376,-59364.6930032607,-59309.2210223171,-59261.6687051364
"2822",-58501.2251403575,-58456.0827513338,-58422.8429856729,-58360.2314810417,-58296.3455952627
"2823",-60024.948447365,-59960.3531496984,-59906.2974670316,-59845.8421303682,-59802.8447808321
"2824",-60119.2005721026,-60062.5828085852,-60010.8652075253,-59957.9880545668,-59909.8452411724
"2825",-59886.6191019668,-59855.7482509297,-59816.2928761819,-59757.3816750692,-59700.6470048534
"2826",-59182.7434851773,-59120.2396547038,-59082.0835450752,-59077.0520833895,-59033.7281626162
"2827",-59468.3276789674,-59439.0618559361,-59384.9036553456,-59333.5469598269,-59273.1690431011
"2828",-59752.1119860755,-59717.7087287367,-59687.1771445575,-59631.3224128262,-59578.8059945661
"2829",-59728.261377404,-59693.9985283781,-59660.3995160956,-59593.7348797139,-59538.1778986314
"2830",-59969.0554120043,-59918.8232400995,-59859.5137270891,-59796.4509437984,-59743.4498038417
"2831",-59499.0734622297,-59444.8367844264,-59382.5313446573,-59320.7525706364,-59263.9913841797
"2832",-58959.8456745815,-58975.1666156532,-58923.5615821251,-58865.7436726481,-58801.9232258872
"2833",-59194.0830863458,-59153.070762287,-59128.9124877971,-59070.5015763214,-59022.0136794435
"2834",-58669.4851496452,-58638.8609066656,-58627.2922609354,-58601.5167034588,-58540.4082156976
"2835",-57895.4741450032,-57849.4074887354,-57794.5822723606,-57750.2654409163,-57703.9334109033
"2836",-58406.5412615399,-58406.1086012528,-58436.3629890883,-58377.6948050572,-58339.6450976152
"2837",-58800.9418520613,-58755.0333528332,-58701.4435598341,-58659.3255082691,-58601.4441741317
"2838",-57825.950584593,-57769.1479767997,-57730.3867095735,-57807.2905876151,-57767.8508115624
"2839",-58281.7154906503,-58223.7853669269,-58163.4840069974,-58114.4347573376,-58054.9940176043
"2840",-59021.6422633639,-58970.0571612091,-58906.7277026747,-58852.4966065468,-58799.2249026954
"2841",-58877.636253738,-58827.0994980448,-58788.9023528778,-58730.5581614333,-58686.3593240079
"2842",-58447.3906551607,-58387.9605544503,-58344.9136792517,-58290.9651062234,-58230.585317835
"2843",-58119.5898209067,-58075.6610978882,-58054.2141970814,-57993.2244486667,-57938.396435616
"2844",-57213.9752727845,-57194.4466470027,-57229.8766713314,-57188.39795333,-57138.7565237408
"2845",-57627.3800836773,-57571.617468253,-57524.3547676206,-57486.7357115525,-57435.5156777291
"2846",-57258.8317425497,-57228.8679885508,-57201.2809480995,-57166.3948350868,-57122.6229690485
"2847",-57319.5883987989,-57268.637762538,-57279.3627486963,-57223.8924291872,-57169.129590832
"2848",-56745.1809633562,-56710.8821346876,-56687.6877831147,-56647.3994923784,-56590.9666285464
"2849",-56692.3918087437,-56643.7695930442,-56600.8902744677,-56545.1082784247,-56489.7186156432
"2850",-56627.3066730342,-56572.9421045888,-56540.0533322265,-56477.566478857,-56428.8680538584
"2851",-56431.5230286351,-56385.2868546698,-56325.5480312275,-56306.3519231648,-56245.1811485406
"2852",-55663.2532231412,-55607.6094753251,-55564.3020244048,-55552.2646456699,-55497.7105165779
"2853",-56060.8768001425,-56012.3262490744,-55964.6406084949,-55936.6673716167,-55904.3473301719
