"","V1","V2","V3","V4","V5"
"result.556",-71364.8273649564,-71265.6100121709,-71693.6186523156,-71552.008796163,-71453.0033319149
"result.557",-72566.6492221239,-72416.3262387464,-72712.383260208,-72539.1973223475,-72413.3428582732
"result.558",-71599.5569505028,-71411.1608869402,-71712.6011101286,-71611.0483245057,-71488.8935731081
"result.559",-72612.0489450524,-72409.5974070404,-72626.4567060704,-72527.9223435444,-72415.0228792969
"result.560",-72804.0708277176,-72599.2722927127,-72746.5379213297,-72657.2835760152,-72505.5219784447
"result.561",-74199.8507438016,-74006.8449602541,-74112.765655598,-73996.0250475687,-73871.2955100616
"result.562",-75642.1065191946,-75446.3750334187,-75605.0021485313,-75498.255400739,-75393.3435326873
"result.563",-77837.9086219017,-77651.0182338139,-77739.7437125617,-77616.0554616025,-77481.0874822808
"result.564",-78400.9892171318,-78204.2978698909,-78327.0643633422,-78192.2972584101,-78042.4040452731
"result.565",-79102.9235743524,-78963.0374611958,-79078.8926741526,-78967.4047615895,-78794.8777701572
"result.566",-79670.7259852926,-79520.7038322631,-79658.9167459012,-79557.0374175249,-79410.7999380854
"result.567",-80196.6935710968,-80004.6821291357,-80039.650314102,-79951.226378303,-79798.1805061064
"result.568",-80307.5468399323,-80091.0073646513,-80087.420048011,-79966.4865735435,-79822.1540114733
"result.569",-81174.7830420409,-80983.280741536,-81037.7557751933,-80883.2890063441,-80734.8027601129
"result.570",-81736.6129814104,-81512.8517641998,-81527.4195089172,-81404.2871040509,-81223.208638397
"result.571",-81779.9822727173,-81560.3967826329,-81682.3763297142,-81565.5313863882,-81384.3740476522
"result.572",-81172.6776007067,-80955.1774049587,-81009.7396369983,-80830.0277442564,-80665.7143189474
"result.573",-81431.0018130105,-81227.9322259539,-81270.3766321409,-81143.348486794,-81013.0061356624
"result.574",-83969.4899391157,-83774.6468477244,-83859.400766836,-83679.2363420017,-83516.0648373439
"result.575",-86109.9428913759,-85883.8178280335,-85864.4262328335,-85707.5993335068,-85497.8938901363
"result.576",-83141.6420888749,-83059.0493347333,-83065.2923340756,-82934.9163741882,-82783.1066572296
"result.577",-83873.4890976201,-83956.4331749235,-83896.2144597053,-83762.4744729936,-83595.1992279808
"result.578",-86882.9802424774,-86651.1717040826,-86582.5238267834,-86405.5765731422,-86217.4289951509
"result.579",-84321.4306569557,-84097.3475255751,-84099.8016273957,-83945.7589406456,-83806.5051465674
"result.580",-82239.6993985104,-82030.4753615968,-82127.4198033061,-82033.88933816,-81911.0327565301
"result.581",-82774.6354078702,-82534.7889640646,-82623.9556587133,-82498.7824569644,-82325.8434661246
"result.582",-82757.0893169529,-82521.5160250976,-82543.1186438212,-82392.5041121867,-82253.035121519
"result.583",-82767.0404348017,-82549.756875721,-82662.5314774597,-82614.945833526,-82439.7937691473
"result.584",-82430.7620151497,-82222.0720597425,-82212.0429227885,-82115.149422624,-81966.862136668
"result.585",-82350.1622079916,-82163.0950506755,-82229.1044867248,-82098.0469813556,-81905.3397703864
"result.586",-81856.0952119374,-81713.8949756547,-81871.169180847,-81758.317987561,-81605.4911510908
"result.587",-81060.5103129489,-80885.9838234235,-80997.330309424,-80908.6333240142,-80745.0682497164
"result.588",-80440.6515942864,-80311.8467775155,-80384.4943869575,-80280.8663471105,-80130.3496490582
"result.589",-80387.8083060826,-80193.2655372386,-80282.5708510443,-80213.9438365147,-80050.7182590375
"result.590",-79738.2676844019,-79564.5840611408,-79660.8361872376,-79559.0505230226,-79428.4414822587
"result.591",-77475.1597284163,-77280.8464927505,-77477.3702338049,-77383.9963788963,-77200.9014412318
"result.592",-76616.4059139143,-76430.2395753862,-76497.9968055047,-76369.0496394326,-76225.3122402466
"result.593",-75269.1663228777,-75086.0494498194,-75185.4660901078,-75093.3091809035,-74974.7434241779
"result.594",-74617.2538174678,-74408.3684843984,-74542.6704122219,-74476.8175927757,-74332.6496520915
"result.595",-73460.2965845761,-73255.4123060325,-73511.3447632696,-73422.265797201,-73318.8196457637
"result.596",-72953.0188364636,-72744.9209282747,-73145.9810093883,-73019.8510827313,-72917.9252517008
"result.597",-72251.867532583,-72056.0553906814,-72405.3479024336,-72248.0466774663,-72139.0242186564
"result.598",-72986.9009248713,-72792.2767125052,-73034.9890248981,-72873.4658455759,-72735.5749444248
"result.599",-72671.2001630402,-72495.6375613684,-72864.793478789,-72728.4108580508,-72614.0014379761
"result.600",-72747.3624653766,-72579.942858197,-72944.1392219699,-72808.2589423021,-72714.9419933212
"result.601",-64771.7640929107,-64614.0258055314,-65014.988143701,-64867.9124169259,-64741.2478830316
"result.602",-73971.6915045024,-73787.6806634434,-74004.9402729771,-73846.2756794344,-73714.4277529647
"result.603",-73161.0052710727,-72977.7131925584,-73368.750147293,-73261.2822085967,-73116.2975197136
"result.604",-73152.7500369983,-72973.4883733279,-73342.8962910871,-73179.6031240719,-73067.4635689249
"result.605",-73541.7409749286,-73364.3080116864,-73776.3290878832,-73623.7921045853,-73531.6694335135
"result.606",-72649.2780465539,-72447.5307275353,-72709.1922198688,-72575.4286570582,-72474.2509570753
"result.607",-73069.1026359515,-72871.0567327689,-73106.6797296651,-73018.4643516356,-72901.5301254871
"result.608",-74385.3341858941,-74191.8587027799,-74301.198380305,-74204.3541558956,-74065.7562284038
"result.609",-74522.651620952,-74339.6101205005,-74464.7629031164,-74379.2530411601,-74245.2592862805
"result.610",-76644.0091815458,-76467.3177255273,-76520.4033195412,-76358.4827946224,-76250.6605051509
"result.611",-77998.3975243182,-77846.6754791739,-77984.3468615488,-77868.6376206979,-77681.1873477011
"result.612",-78951.7065362858,-78819.176609901,-79043.7942865364,-78930.4505536667,-78770.5898363466
