"","V1","V2","V3","V4","V5"
"result.2313",-105458.918942951,-105546.650312725,-105725.828427041,-105726.012028445,-105522.055788674
"result.2314",-105274.602941441,-105248.528574243,-105245.015982908,-105092.132110128,-104783.817146379
"result.2315",-106064.756071703,-106086.124873053,-106150.513811531,-106057.116942759,-105798.546941464
"result.2316",-104987.403786749,-105055.633841445,-105159.968925387,-105081.96299008,-104836.179260218
"result.2317",-96688.5962939873,-96735.2351134855,-96901.7934700507,-96869.4206463693,-96640.3804960137
"result.2318",-105931.704558271,-105957.490861254,-105997.948561446,-105918.781531817,-105675.897708487
"result.2319",-105469.778266623,-105473.538409445,-105593.677302951,-105539.639113938,-105281.223297625
"result.2320",-105621.607259624,-105636.640965723,-105738.5284522,-105672.229992527,-105424.194121463
"result.2321",-105963.837811454,-105983.64778491,-105992.660668159,-105861.972295486,-105578.408758533
"result.2322",-105730.471817336,-105770.888846529,-105804.264028418,-105688.142417618,-105437.90298177
"result.2323",-105610.677780713,-105618.958953397,-105649.763010475,-105519.222243793,-105254.73649459
"result.2324",-106056.57402114,-106021.926571941,-106080.716104097,-105982.648237954,-105733.123170851
"result.2325",-105819.501699909,-105811.41163612,-105801.384549304,-105642.349647759,-105359.751704529
"result.2326",-106099.11128812,-106157.973865976,-106250.1377247,-106181.639438564,-105994.316286939
"result.2327",-106923.646365588,-106995.542143904,-107084.477536154,-107021.797468067,-106810.716692459
"result.2328",-107531.072287304,-107596.71389653,-107614.826588394,-107508.136195675,-107268.662570932
"result.2329",-107640.281614104,-107674.972393972,-107738.859601663,-107677.296184852,-107430.558131782
"result.2330",-108516.55136472,-108573.651897367,-108611.361276249,-108511.49835389,-108253.340485951
"result.2331",-109555.426213796,-109694.997012601,-109728.147465373,-109676.376216017,-109438.176136715
"result.2332",-110605.181228576,-110695.139180023,-110730.263566668,-110677.381092875,-110439.684960899
"result.2333",-111284.563261227,-111353.221089014,-111418.523131606,-111418.085616882,-111222.92898031
"result.2334",-111927.359011357,-112099.917390644,-112217.754980197,-112216.662449757,-112028.797562395
"result.2335",-111737.411005371,-111845.070213538,-111879.361369497,-111821.090911959,-111572.101610683
"result.2336",-112497.670828726,-112604.960045688,-112600.579664794,-112456.749175282,-112161.655122273
"result.2337",-112385.881259195,-112445.435253145,-112416.796690005,-112260.414846357,-111902.56790242
"result.2338",-112909.419634795,-113011.622512024,-113018.206326274,-112875.711631908,-112631.745434076
